,lat,lng,name
7,48.83825,2.342605,S.O.S Médecins
16,48.829102308991004,2.3606014251708998,Centre de santé Edison
61,48.889126880587995,2.3209286877346,Laboratoire d'analyses Akiki
80,48.869273,2.293217,Ipc
89,48.835489,2.40621606,Kinesitherapeute
105,48.826337054750006,2.3421049578641,Clinique Vétérinaire Drs Denizet Jacob
107,48.87880123705,2.2916442390466,Laboratoire d'analyse medicale Saint-Ferdinand
120,48.859415000000006,2.4095299999999997,Dr. Richemond
123,48.887849354919005,2.3495255106509,Laboratoire Radios
130,48.883514686197,2.3097134527067005,Laboratoire d Analyses Medicales
142,48.84757718081101,2.2658421091139,Radiologie d'Auteuil
170,48.86052512776,2.3755398285232,Cabinet De Radiologie
233,48.837796999999995,2.391957,Laboratoire LCD
235,48.868795,2.401866,Kinésithérapeute
245,48.882884000000004,2.327748,Medecine du Travail
259,48.871281874313,2.3236516159477003,CMIE Médecine Du Travail
261,48.867826,2.341668,CMB - Visite Medicale
264,48.88924183148,2.3176270723342998,Centre d'Imagerie Médicale Nollet
267,48.850361,2.393223,Medecine du Travail
283,48.851029,2.234552,Eylau
324,48.879851,2.389378,Centre de Santé Médical et Dentaire A.D.M.S
328,48.84032833017,2.4001251207149,Laboratoire d'analyses médicales Badré
355,48.882869378943006,2.3561621536472996,Cabinet Médical SNCF
365,48.868715,2.362784,Laboratoire de biologie médicale
370,48.866179459528,2.3736454143212,Laboratoire d'Analyses Médicales de Vinci
371,48.843601711765004,2.3541048367577,Centre De Consultations
375,48.848774276368,2.3021558638918997,EFS - Don du sang
380,48.883160091072,2.3091598965374,Laboratoire d'analyses Medicales
381,48.846785053045,2.2664775934666004,Laboratoire FL BIO
387,48.8711981,2.3642112,Scanner République
400,48.881993512258994,2.3173633962937004,Cabinet Ophtalmologie Bigot
402,48.877050361037995,2.3420512676239,Cabinet de Radiologie
413,48.855211831378,2.3575687466251,Croix Rouge Française
426,48.874808621392,2.3761518483745,Cosem Atlas
431,48.832609393762,2.354885066703,Laboratoire EMAR
434,48.883894010988996,2.3279275054657003,Radiologie Echographie Place De Clichy
454,48.8480756,2.2633175,Cabinet Infirmier
469,48.830515937503,2.3271635827903,"Centre De Radiologie, Alesia"
478,48.847526,2.3890759999999998,Centre Radiologie
480,48.85895,2.379883,Cabinet D'ophtalmologie
497,48.828119234908,2.3446404871186,Cpam Daviel
501,48.873199514116,2.3237629025896003,Cabinet de Kinesitherapie Becquet-Meunier
502,48.840178658243,2.3586898186602,PMI Poliveau
517,48.824418607697,2.3255682537492,CPAM Ave Général Leclerc
524,48.857769,2.372199,CMSEA
532,48.877002161343,2.3233249964306,Laboratoire de biologie médicale La Scala
537,48.840642142114,2.2910875269482998,Laboratoire Bio Quinze
549,48.851616458872,2.3906552055515,Croix-Rouge Française
554,48.891698079832004,2.3358315430852996,Efficience Centre Marcadet
562,48.846516319525,2.2652864456177,Clinique Edouard Rist
563,48.823868449746,2.3579374767770003,Laboratoire d'analyse Akoun
575,48.899020992442,2.3322228496715,Etablissement Français Du Sang De L'hopital Bichat
579,48.845589621729005,2.3949482380687,Laboratoire d'Analyses Médicales
604,48.84011606543,2.2678295700515,Croix-Rouge Francaise Paris XVI
637,48.88640734129599,2.3053463394837,Kinesitherapeute Vezin
638,48.868452000000005,2.284617,Centre De Radiologie Et Echographie
670,48.888011224334,2.3514649359894,Protection Civile de Paris 18ème
673,48.845983000000004,2.3836180000000002,Cabinet de Radiologie
681,48.846136,2.381761,EFS Crozatier
693,48.874962,2.3315,Cmie Victoire
700,48.853232,2.289904,Cabinet de radiologie - Site Grenelle IRMO - Site IRM
705,48.848431511217,2.2675501235551,Kiné
712,48.84841240220899,2.3466032476666,Centre René-Capitant
728,48.880662901505005,2.2999378799843,Osteo Paillardy
747,48.871725820908004,2.3682105812183,Etablissement français du sang
749,48.89294052124001,2.3762938976287997,Assurance Maladie -  Centre Flandre
759,48.82692139718501,2.3197476155347,Sainte Monique
766,48.824564,2.3726529999999997,Proteor
790,48.886209,2.389059,Cabinet De Kinésithérapie
791,48.836798815006,2.3554019501998003,Cabinet D'osteopathie
847,48.880392656588,2.337681747796,Centre medical
886,48.856259,2.3863,Centre Voltaire
889,48.827006651773004,2.3384351839588,Raymond Garcin
891,48.846123092627,2.294388250915,duboquet
898,48.82498600607099,2.3248504197795,Cabinet de Dermathologie
905,48.843632945557005,2.3529623285909,Centre De Chirurgie Digestive Et De L'obésité
906,48.843526316655996,2.3542038505214,Institut Parisien Du Dos
926,48.885741309897,2.3366324904029,Cabinet De Kinésithérapie
953,48.862874,2.27297,Cabinet De M. Arouete
956,48.830942537287996,2.3240777052337003,pharmacie des plantes
976,48.85968,2.278611,Centre d'Imagerie Medicale La Muette
984,48.884944,2.3334509999999997,Ma Kiné
985,48.829275,2.357002,Cabinet de Radiologie
1012,48.891739,2.3260919999999996,Cabinet d'Orthophonie
1018,48.877349853515994,2.3687090873718,Cabinet Diététique
1019,48.869325,2.406231,PMI
1041,48.866801595308,2.3417006799393,PMI
1055,48.880224,2.374085,Kiné
1063,48.82845,2.3821380000000003,Clinicprosport
1069,48.882359801289,2.3548293113709,Cabinet Médical Régional de PARIS-NORD
1073,48.877508469235,2.3853926907137,Kinesitherapie Osteopathie
1076,48.871010999999996,2.394083,Docteur Cheniour
1077,48.850739727623996,2.2715542175395,Cabinet La Fontaine Kinésithérapie
1084,48.823917,2.3265849999999997,RIP Alesia
1096,48.833398214538,2.3045203794432,Cabinet De Kinesitherapie Brancion
1097,48.892596999999995,2.344991,Die Schwarzwaldklinik
1103,48.821264,2.345807,Protection Civile Paris 13
1111,48.831021,2.33013,Centre Médical Denfert
1113,48.869877,2.29205,Centre Medical
1119,48.835906,2.388196,La Chambraudie RATP
1122,48.89276890165999,2.3262047767639,dalla Psicologa
1125,48.872751,2.359297,Centre Sésame
1137,48.88496251520701,2.3154267046594,Cabinet de Kinésitherapie
1139,48.856693,2.302462,Cabinet d'ostéopathie
1148,48.853631,2.3671919999999997,Somewhere in Paris
1151,48.844865000000006,2.293536,Poignetradiotologue
1155,48.845779,2.284123,Cabinet De Kinésithérapie
1176,48.831106,2.318495,Centre de santé Tisserand
1178,48.889650091273005,2.3582713165697005,Kiné Ordener
1193,48.871437072754,2.3741166591644,cabinet paramedical civiale
24579,48.843166791561,2.406127693006,Maternité Les Bluets
24696,48.842909999999996,2.401242,Centre Medico-social Elio Habib
24746,48.857889709075,2.3813329729398,Croix Rouge Française
24780,48.876481840204,2.291707386642,Centre Laser Etoile
24868,48.871840459148,2.3678089600361,Hôpital Saint-Louis - EFS
24889,48.847210488792,2.3842626470917003,Caserne des pompiers 12eme
24903,48.870330708981,2.3943492700061,La Clinique Le Démontoire
24916,48.863992117249005,2.2731016507909,Pharmacie Henri Martin
24917,48.860795445158004,2.2790732115459003,Centre Cortambert
24923,48.884527256233994,2.3663090956702004,Centre De Santé
24933,48.885466495813,2.3716039316492004,Cram Île-de-France
24943,48.841752285785,2.3139763334095997,Clinique Veterinaire Caron
24952,48.86331093200499,2.4011051714883997,clinique veto UCVET
24976,48.838628902847994,2.3986438804357,Boucherit Bachir
25012,48.844844726794,2.4039484576671,Cabinet D'osteopathie Anouck Alpern
